Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
13,Entry short,01-07-2025 20:45,SELL DD,105603.65,0.00132,139.396818,-0.03,-0.02,0.3,0.22,-0.03,-0.02,-538.33,-0.54
14,Exit short,01-07-2025 21:30,BUY DD,105618.5,0.94051,99321.28886,-13.97,-0.01,473.51,0.48,-18.4,-0.02,-552.29,-0.55
14,Entry short,01-07-2025 20:45,SELL DD,105603.65,0.94051,99321.28886,-13.97,-0.01,473.51,0.48,-18.4,-0.02,-552.29,-0.55
15,Exit long,01-07-2025 22:15,SELL DD,105583.82,0.94157,99447.21105,-32.65,-0.03,161.71,0.16,-36.11,-0.04,-584.95,-0.58
15,Entry long,01-07-2025 21:30,BUY DD,105618.5,0.94157,99447.21105,-32.65,-0.03,161.71,0.16,-36.11,-0.04,-584.95,-0.58
16,Exit short,01-07-2025 22:15,Margin call,105707.52,0.00876,924.9142632,-1.08,-0.12,0.51,0.06,-1.08,-0.12,-586.03,-0.59
16,Entry short,01-07-2025 22:15,SELL DD,105583.82,0.00876,924.9142632,-1.08,-0.12,0.51,0.06,-1.08,-0.12,-586.03,-0.59
17,Exit short,01-07-2025 22:45,BUY DD,105699.99,0.93281,98489.64313,-108.36,-0.11,54.3,0.06,-123.77,-0.13,-694.4,-0.69
17,Entry short,01-07-2025 22:15,SELL DD,105583.82,0.93281,98489.64313,-108.36,-0.11,54.3,0.06,-123.77,-0.13,-694.4,-0.69
18,Exit long,02-07-2025 00:00,SELL DD,106194.7,0.9395,99305.14061,464.78,0.47,484.87,0.49,-11.68,-0.01,-229.62,-0.23
18,Entry long,01-07-2025 22:45,BUY DD,105699.99,0.9395,99305.14061,464.78,0.47,484.87,0.49,-11.68,-0.01,-229.62,-0.23
19,Exit short,02-07-2025 00:00,Margin call,106253.93,0.00416,441.769952,-0.25,-0.06,0.18,0.04,-0.25,-0.06,-229.86,-0.23
19,Entry short,02-07-2025 00:00,SELL DD,106194.7,0.00416,441.769952,-0.25,-0.06,0.18,0.04,-0.25,-0.06,-229.86,-0.23
20,Exit short,02-07-2025 01:15,Margin call,106545.68,0.00804,853.805388,-2.82,-0.33,0.51,0.06,-2.82,-0.33,-232.68,-0.23
20,Entry short,02-07-2025 00:00,SELL DD,106194.7,0.00804,853.805388,-2.82,-0.33,0.51,0.06,-2.82,-0.33,-232.68,-0.23
21,Exit short,02-07-2025 02:30,Margin call,106987.99,0.00664,705.132808,-5.27,-0.75,0.42,0.06,-5.27,-0.75,-237.95,-0.24
21,Entry short,02-07-2025 00:00,SELL DD,106194.7,0.00664,705.132808,-5.27,-0.75,0.42,0.06,-5.27,-0.75,-237.95,-0.24
